The Finkler Question
Howard Jacobson
3 stars
15.00 used
October 12, 2010
Come, thou Tortoise
Jessica Grant
4.8 stars
22.0 new
March 9, 2012
Catching Fire
Suzanne Collins
5 stars
9.98 used
April 8, 2013
Mokingjay
Suzanne Collins
4.6 stars
9.95 almost new
May 7, 2014
Winnie's War
Jackson Moss
3.8 stars
10.50 new
September 4, 2013
Deenie
Judy Blume
3.8 stars
0.95 mint
April 6, 1994
Only One Year
Andrea Cheng
4.9 stars
3.56 new
September 1, 1969
Can Adults Become Human?
Jim Benton
4.2 stars
5.35 used
May 1st, 2006
