Ia	Ib	Ic	Id	Ie	If	Ih	Ik	Iv	IIa	IIb	IIc	IIe	IIf	IIh	IIj	IIk	IIv	IIIc	IIIh	IVa	IVj	VIb	VIc	VIk	VIo	VIu	VIIa	VIIb	VIIc	VIIe	VIIf	VIIh	VIIi	VIIj	VIIk	VIIm	VIIn	VIIt	Xk	XIa	XIj	XIIa	XIVa	XIVb	XIVc	XIVd	XIVf	XIVh	XIVi	XIVj	XIVk	XIVs	XVa	XVk	XVIa	XVIc	XVIk
Adenoides eludens NEPCC 683a (T)	0	0	0	0	0	0	0	6.8	0	50.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	0	1.4	0	0	0	0	0	34.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akashiwo sanguinea CCMP 1740 (N)	0	0	19	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akashiwo sanguinea CS-35 (L)	0	4	7	0	0	0	32	14	0	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akashiwo sanguinea CCMP 1593 (T)	0	6.8	26.7	0	0	0	0	38.6	0	0	0	0	0	0	0	0	0	0	0	14.3	0	0	0	0	0	0	0	0	0	11.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alexandrium andersoni CCMP 718 (N)	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alexandrium minutum CCMP 113 (N)	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alexandrium tamarense CCMP 115 (N)	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alexandrium tamarense UTEX 2521 (N)	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alexandrium tamarense Gt4 (J)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alexandrium tamarense Gt8 (J)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
